Filename,Very Low,Low,Medium,High,Very High,Nil,Very Low_Area,Low_Area,Medium_Area,High_Area,Very High_Area,Nil_Area
Chickpea_ChittagongDIV_ZZ_Cold stress during flowering,0,0,0,0,0,325,0,0,0,0,0,283471.38
Chickpea_ChittagongDIV_ZZ_Drought,325,0,0,0,0,0,283471.38,0,0,0,0,0
Chickpea_ChittagongDIV_ZZ_Excess rainfall,325,0,0,0,0,0,283471.38,0,0,0,0,0
Chickpea_ChittagongDIV_ZZ_Frost,0,0,0,0,0,325,0,0,0,0,0,283471.38
Chickpea_ChittagongDIV_ZZ_Heat stress,325,0,0,0,0,0,283471.38,0,0,0,0,0
Chickpea_ChittagongDIV_ZZ_High tempearture during flowering,0,0,0,0,0,325,0,0,0,0,0,283471.38
Chickpea_DAYKUNDI_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_DAYKUNDI_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_DAYKUNDI_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_DAYKUNDI_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_DAYKUNDI_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_DAYKUNDI_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_DhakaDIV_ZZ_Cold stress during flowering,0,0,0,0,0,3700,0,0,0,0,0,4877604
Chickpea_DhakaDIV_ZZ_Drought,3700,0,0,0,0,0,4898964.5,0,0,0,0,0
Chickpea_DhakaDIV_ZZ_Excess rainfall,100,0,0,0,0,3600,145085.69,0,0,0,0,4732518.5
Chickpea_DhakaDIV_ZZ_Frost,0,0,0,0,0,3700,0,0,0,0,0,4877604
Chickpea_DhakaDIV_ZZ_Heat stress,3700,0,0,0,0,0,4877604,0,0,0,0,0
Chickpea_DhakaDIV_ZZ_High tempearture during flowering,0,0,0,0,0,3700,0,0,0,0,0,4877604
Chickpea_FARAH_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARAH_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARAH_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARAH_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARAH_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARAH_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARYAB_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARYAB_ZZ_Drought,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARYAB_ZZ_Excess rainfall,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARYAB_ZZ_Frost,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARYAB_ZZ_Heat stress,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_FARYAB_ZZ_High tempearture during flowering,0,0,0,0,0,0,0,0,0,0,0,0
Chickpea_GandakiDIV_ZZ_Cold stress during flowering,300,200,175,175,725,0,51768.477,38858.312,40921.73,24235.08,98700.89,0
Chickpea_GandakiDIV_ZZ_Drought,1575,0,0,0,0,0,254484.5,0,0,0,0,0
Chickpea_GandakiDIV_ZZ_Excess rainfall,0,0,0,0,0,1575,0,0,0,0,0,254484.5
Chickpea_GandakiDIV_ZZ_Frost,650,100,150,0,475,200,117920.03,9059.985,24229.668,0,63337.285,39937.508
Chickpea_GandakiDIV_ZZ_Heat stress,75,0,0,0,0,1500,13968.021,0,0,0,0,240516.48
Chickpea_GandakiDIV_ZZ_High tempearture during flowering,0,0,0,0,0,1575,0,0,0,0,0,254484.5
Chickpea_GHAZNI_ZZ_Cold stress during flowering,0,0,0,0,0,0,0,0,0,0,0,0
