OBJECTID_1,Country_Co,CN_DT_Code,STATE,D_NAME_1
518,BD,BGD_449,RAJSHAHI DIVISION,Naogaon
519,BD,BGD_435,KHULNA DIVISION,Narail
520,BD,BGD_418,CHITTAGONG DIVISION,Narayanganj
521,BD,BGD_419,CHITTAGONG DIVISION,Narsingdi
522,BD,BGD_436,KHULNA DIVISION,Natore
523,BD,BGD_450,RAJSHAHI DIVISION,Nawabganj
524,BD,BGD_460,SYLHET DIVISION,Netrakona
525,BD,BGD_455,RANGPUR DIVISION,Nilphamari
526,BD,BGD_420,CHITTAGONG DIVISION,Noakhali
527,BD,BGD_437,KHULNA DIVISION,Pabna
528,BD,BGD_456,RANGPUR DIVISION,Panchagarh
529,BD,BGD_404,BARISAL DIVISION,Patuakhali
530,BD,BGD_438,KHULNA DIVISION,Pirojpur
531,BD,BGD_439,KHULNA DIVISION,Rajbari
532,BD,BGD_440,KHULNA DIVISION,Rajshahi
533,BD,BGD_421,CHITTAGONG DIVISION,Rangamati
534,BD,BGD_457,RANGPUR DIVISION,Rangpur
535,BD,BGD_441,KHULNA DIVISION,Satkhira
536,BD,BGD_405,BARISAL DIVISION,Shariatpur
537,BD,BGD_442,MYMENSINGH DIVISION,Sherpur
538,BD,BGD_451,RAJSHAHI DIVISION,Sirajganj
539,BD,BGD_461,SYLHET DIVISION,Sunamganj
540,BD,BGD_462,SYLHET DIVISION,Sylhet
541,BD,BGD_452,RAJSHAHI DIVISION,Tangail
542,BD,BGD_458,RANGPUR DIVISION,Thakurgaon
543,BT,BTN_463,BHUTAN,Bumthang
544,BT,BTN_464,BHUTAN,Chhukha
545,BT,BTN_465,BHUTAN,Dagana
546,BT,BTN_466,BHUTAN,Gasa
547,BT,BTN_467,BHUTAN,Haa
548,BT,BTN_468,BHUTAN,Lhuentse
549,BT,BTN_469,BHUTAN,Monggar
550,BT,BTN_470,BHUTAN,Paro
551,BT,BTN_471,BHUTAN,Pemagatshel
